track_id,album_id,artist_id,artist,track
0WOdLoKVLLVO8Zcu29ah68,13vOj4n0shZtxuPqrw00iP,2hGh5VOeeqimQFxqXvfCUf,John Coltrane,My Favorite Things - Live At The Half Note
5RANQdNcKrUchsNXSrM1af,3S5MLt9uoIGx9GialSuBq6,6ra4GIOgCZQZMOaUECftGN,Frank Zappa,Cheap Thrills
4V0IQjv0hwEdLPYoxCF4eU,13vOj4n0shZtxuPqrw00iP,2hGh5VOeeqimQFxqXvfCUf,John Coltrane,Announcements - Announcement 2 / Live At The Half Note
2nWSLHchBsbpiqLLca2ZAV,13vOj4n0shZtxuPqrw00iP,2hGh5VOeeqimQFxqXvfCUf,John Coltrane,Song Of Praise - Live At The Half Note
0qQv3XKcr8mvZlcxcdqnvi,13vOj4n0shZtxuPqrw00iP,2hGh5VOeeqimQFxqXvfCUf,John Coltrane,Introduction And Announcements - Introduction 2 / Live At The Half Note
3daxXJzu8abECfrQNuG5Fb,13vOj4n0shZtxuPqrw00iP,2hGh5VOeeqimQFxqXvfCUf,John Coltrane,Announcements - Announcement 1 / Live At The Half Note
4Y0viZJi0J0wGGq53V8lsA,13vOj4n0shZtxuPqrw00iP,2hGh5VOeeqimQFxqXvfCUf,John Coltrane,"One Down, One Up - Live At The Half Note"
4N05pFxj2VlUIsTdTrc904,13vOj4n0shZtxuPqrw00iP,2hGh5VOeeqimQFxqXvfCUf,John Coltrane,Introduction And Announcements - Introduction 1 / Live At The Half Note
6ZJdpaqHQGvJj6NQ3GuITN,1wL2hJoek6UmeP0GLx9VnZ,2hGh5VOeeqimQFxqXvfCUf,John Coltrane,Time After Time
2CcP08PDajq12CLNiafoKV,7lRcWdFIW2mrDOu0igcfR0,6ra4GIOgCZQZMOaUECftGN,Frank Zappa,Nine Types Of Industrial Pollution
1XTISXdLJLRXKNc0suhnZV,7lRcWdFIW2mrDOu0igcfR0,6ra4GIOgCZQZMOaUECftGN,Frank Zappa,The Voice Of Cheese
65MwB4COqLosiXDMYnGhRY,7lRcWdFIW2mrDOu0igcfR0,6ra4GIOgCZQZMOaUECftGN,Frank Zappa,Uncle Meat: Main Title Theme
2WeRy1nUg1j0lzWe8VhkC6,3S5MLt9uoIGx9GialSuBq6,6ra4GIOgCZQZMOaUECftGN,Frank Zappa,Deseri
0ongCDNtgI19em8txHsXRy,3S5MLt9uoIGx9GialSuBq6,6ra4GIOgCZQZMOaUECftGN,Frank Zappa,How Could I Be Such A Fool
2XOdh3xaiOIcWTBpIaDjOH,3S5MLt9uoIGx9GialSuBq6,6ra4GIOgCZQZMOaUECftGN,Frank Zappa,Love Of My Life
3XjbKcULhaRFTWcvzFY7OC,4VzRaSdKOXscjw5v3sur81,4lianjyuR1tqf6oUX8kjrZ,Franco Battiato,Il Potere Del Canto
1tNsEnoJLHTYhqeDvWzbKg,4VzRaSdKOXscjw5v3sur81,4lianjyuR1tqf6oUX8kjrZ,Franco Battiato,Scherzo in minore
5WPfU9TAfTqZ3Trk4U1Nms,1Q3kfxbwLoF0wELqi2KrkS,0sihhSAp2JQBQ2oqapkVxV,Logos,Epilogo (2023 Remastered Version)
3FK1NhyktJp0Nav4YQ70wy,1KqjFxlP8j40TXaVlupe0s,4lianjyuR1tqf6oUX8kjrZ,Franco Battiato,Oh Sweet Were The Hours - Remastered
1suorELeXIm3oOGm6WaHCM,1KqjFxlP8j40TXaVlupe0s,4lianjyuR1tqf6oUX8kjrZ,Franco Battiato,Gestillte Sehnsucht - Remastered
743KInv5knd9RNIbf0ZFWv,1Q3kfxbwLoF0wELqi2KrkS,0sihhSAp2JQBQ2oqapkVxV,Logos,Terra incognita (2023 Remastered Version)
0P2h0qWNL6Nyc4RqNtqdaN,1Q3kfxbwLoF0wELqi2KrkS,0sihhSAp2JQBQ2oqapkVxV,Logos,Asrava (2023 Remastered Version)
5K9jL0M4x5sCjujENxFofk,1Q3kfxbwLoF0wELqi2KrkS,0sihhSAp2JQBQ2oqapkVxV,Logos,La leggerezza della libertà (2023 Remastered Version)
7htfBcBvgKeGVXYxfx2xFA,1Q3kfxbwLoF0wELqi2KrkS,0sihhSAp2JQBQ2oqapkVxV,Logos,'99 (2023 Remastered Version)
3UDk7GHjm739z2byv8k6PU,1Q3kfxbwLoF0wELqi2KrkS,0sihhSAp2JQBQ2oqapkVxV,Logos,Ezra Pound (2023 Remastered Version)
3CYdYSc42Bx6D52mNlbHMu,1Q3kfxbwLoF0wELqi2KrkS,0sihhSAp2JQBQ2oqapkVxV,Logos,Prologo (2023 Remastered Version)
4iNjJNcibSvB1TvpYaBYo9,1Q3kfxbwLoF0wELqi2KrkS,0sihhSAp2JQBQ2oqapkVxV,Logos,Arc en ciel 2 (2023 Remix)
3Q2bZxxz2xEftFV7feGcpN,1Q3kfxbwLoF0wELqi2KrkS,0sihhSAp2JQBQ2oqapkVxV,Logos,Un giorno (2023 Remix)
0kVMF0D8RSi2cTowFIwdo5,7A0JcNzfXqrWXFoFv7TAsC,2hGh5VOeeqimQFxqXvfCUf,John Coltrane,Joy - Alternate Version
385oFBmR10KopjBQHFggC2,7A0JcNzfXqrWXFoFv7TAsC,2hGh5VOeeqimQFxqXvfCUf,John Coltrane,Serenity
5wwPIQBoHAgFWRRShl1RKi,7A0JcNzfXqrWXFoFv7TAsC,2hGh5VOeeqimQFxqXvfCUf,John Coltrane,Consequences
3ZWmBEx63Z1okrvMnFP6Xd,7A0JcNzfXqrWXFoFv7TAsC,2hGh5VOeeqimQFxqXvfCUf,John Coltrane,Joy
723HjkXO2WcxvlS0lMGLtj,7A0JcNzfXqrWXFoFv7TAsC,2hGh5VOeeqimQFxqXvfCUf,John Coltrane,Compassion
6fdLlJJC7D4wkeRVAXR6tK,012Zmc4xCOiJaR4wlnbtWg,2hGh5VOeeqimQFxqXvfCUf,John Coltrane,Straight Street - Rudy Van Gelder Remaster
7aubHMiL85lZyppYOOwbwu,4jTDjHLMFCHWrjuP1qmCf4,2hGh5VOeeqimQFxqXvfCUf,John Coltrane,Countdown - 2020 Remaster
28DkOS1AxI9H9VT5YHRtyz,1q3rQgShuowlnUcfKFxESq,2hGh5VOeeqimQFxqXvfCUf,John Coltrane,Just Friends - 1991 Digital Remaster
1Rph9i0FWKDa9Aq9H4iiMx,1rYvimVGwIQgc5IhBwLBuX,2hGh5VOeeqimQFxqXvfCUf,John Coltrane,I'll Wait and Pray
3WUVwdYEPeVyYWjNfCp0KQ,5vhyzhJXAtm6UbZNlWo5Wa,2hGh5VOeeqimQFxqXvfCUf,John Coltrane,"A Love Supreme, Pt. IV - Psalm - Live"
15t5z0X7ZxIIOeEgVt1xvN,6D8Apauuemk0IFU035OsJv,2KUvztaZ23NwLaNMD2qElz,Hamid Baroudi,Anarchie
4qBrevf1tDMbZ7hwv7h4pP,6D8Apauuemk0IFU035OsJv,2KUvztaZ23NwLaNMD2qElz,Hamid Baroudi,Columbus
3vKUkDHZJoF0zvtLXGrnOn,6D8Apauuemk0IFU035OsJv,2KUvztaZ23NwLaNMD2qElz,Hamid Baroudi,Casablanca Exile
24sjFrL5FkQNEE0uqudGnu,6D8Apauuemk0IFU035OsJv,2KUvztaZ23NwLaNMD2qElz,Hamid Baroudi,Lila
55ohhYGtGf5W7zLwgGhhaf,6D8Apauuemk0IFU035OsJv,2KUvztaZ23NwLaNMD2qElz,Hamid Baroudi,Tell Me
1VsdYbLRYwwB5DzcXj09Rm,6D8Apauuemk0IFU035OsJv,2KUvztaZ23NwLaNMD2qElz,Hamid Baroudi,Alone
2NUtG54By5uLZ56lIh75vu,6D8Apauuemk0IFU035OsJv,2KUvztaZ23NwLaNMD2qElz,Hamid Baroudi,Trance Dance
2er9twDVl0pCNCKCGkLrsC,7lRcWdFIW2mrDOu0igcfR0,6ra4GIOgCZQZMOaUECftGN,Frank Zappa,Mr. Green Genes
0YYDUF3wSk2pLE7MNQfQiY,7lRcWdFIW2mrDOu0igcfR0,6ra4GIOgCZQZMOaUECftGN,Frank Zappa,"Ian Underwood Whips It Out - Live At The Falkoner Theater, Copenhagen/1967"
71a0D0DG3RSzQ7FDeGQpHG,7lRcWdFIW2mrDOu0igcfR0,6ra4GIOgCZQZMOaUECftGN,Frank Zappa,A Pound For A Brown On The Bus
4DRVgWT62NDHQ8AP5p8FTq,7lRcWdFIW2mrDOu0igcfR0,6ra4GIOgCZQZMOaUECftGN,Frank Zappa,God Bless America - Live At The Whisky A Go Go/1968
4s3OIQuwM9AQrTzb2XZk2W,7lRcWdFIW2mrDOu0igcfR0,6ra4GIOgCZQZMOaUECftGN,Frank Zappa,Prelude To King Kong
2irnmo7f12pCnvmV4g0uBq,7lRcWdFIW2mrDOu0igcfR0,6ra4GIOgCZQZMOaUECftGN,Frank Zappa,Electric Aunt Jemima
0AckKVi9WU1GpG3ETIJOUV,7lRcWdFIW2mrDOu0igcfR0,6ra4GIOgCZQZMOaUECftGN,Frank Zappa,The Uncle Meat Variations
1yiMahUkIYajCezMNqBSeL,7lRcWdFIW2mrDOu0igcfR0,6ra4GIOgCZQZMOaUECftGN,Frank Zappa,Our Bizarre Relationship
67tdrEOSUnbYdxH6r8bydi,7lRcWdFIW2mrDOu0igcfR0,6ra4GIOgCZQZMOaUECftGN,Frank Zappa,Sleeping In A Jar
7r8cVU121onGE7FI0vgu36,7lRcWdFIW2mrDOu0igcfR0,6ra4GIOgCZQZMOaUECftGN,Frank Zappa,The Dog Breath Variations
1aeiv0bswIlRRg2SbizBOg,7lRcWdFIW2mrDOu0igcfR0,6ra4GIOgCZQZMOaUECftGN,Frank Zappa,"Louie Louie - Live At The Royal Albert Hall, London/1967"
0ygeVS3wWBGhOOGfLRrN03,7lRcWdFIW2mrDOu0igcfR0,6ra4GIOgCZQZMOaUECftGN,Frank Zappa,The Legend Of The Golden Arches
3qJ3cj6IE3b0Q1wYRlq3ex,7lRcWdFIW2mrDOu0igcfR0,6ra4GIOgCZQZMOaUECftGN,Frank Zappa,"Dog Breath, In The Year Of The Plague"
2Hf52vDexWN9TxRrZjqwJA,7lRcWdFIW2mrDOu0igcfR0,6ra4GIOgCZQZMOaUECftGN,Frank Zappa,Zolar Czakl
2im7cuv2QD5FqlU4a7ePIN,37i2cYpaPCjBVKQX8xszqv,2hGh5VOeeqimQFxqXvfCUf,John Coltrane,Mr. Day
50LULZyx2xFDsjLxGtovk1,37i2cYpaPCjBVKQX8xszqv,2hGh5VOeeqimQFxqXvfCUf,John Coltrane,Blues to You
6zrp0962R5OrwvXgnfVo9n,37i2cYpaPCjBVKQX8xszqv,2hGh5VOeeqimQFxqXvfCUf,John Coltrane,Blues to Bechet
6zsXduqHYbAAy318vQqNTA,37i2cYpaPCjBVKQX8xszqv,2hGh5VOeeqimQFxqXvfCUf,John Coltrane,Blues to Elvin
3lrcl8bNSUkHMjHEtP5yC1,5e3mq4TT4RLn4VXfgKV6MU,2hGh5VOeeqimQFxqXvfCUf,John Coltrane,Autumn Serenade
4bA0Y5vHsRx2RH59lGkryb,5e3mq4TT4RLn4VXfgKV6MU,2hGh5VOeeqimQFxqXvfCUf,John Coltrane,You Are Too Beautiful
0Srs2sPdZTfFvvfLP4DGa0,5e3mq4TT4RLn4VXfgKV6MU,2hGh5VOeeqimQFxqXvfCUf,John Coltrane,Lush Life
7981FAW8DbDs1ueK4Ha8R2,5e3mq4TT4RLn4VXfgKV6MU,2hGh5VOeeqimQFxqXvfCUf,John Coltrane,Dedicated To You
2ze0pFNOCrhSh6QtDHs0Hi,7hhiiSTYqeVkfqTty5c1H5,7nQZVqkaUxa3A62UJSisSB,La coscienza di Zeno,Un Insolito Baratto Alchemico
3QXpBHYp3LGIS2ICmmwaZ5,7hhiiSTYqeVkfqTty5c1H5,7nQZVqkaUxa3A62UJSisSB,La coscienza di Zeno,Il Basilisco
0cRS20oEnM1Hv2wZRooluJ,7hhiiSTYqeVkfqTty5c1H5,7nQZVqkaUxa3A62UJSisSB,La coscienza di Zeno,"Nei Cerchi Del Legno (I. Pinocchio, Ii, V.i.t.r.i.o.l., Iii. L'eterna Spirale Del Destino, Iv. Radici Di Una Coscienza)"
282KaxSCMolEUYZoQYfb1N,7lRcWdFIW2mrDOu0igcfR0,6ra4GIOgCZQZMOaUECftGN,Frank Zappa,We Can Shoot You
